Classifier,Accuracy,Precision (positive class),Recall (positive class),F-score (positive class),Precision (negative class),Recall (negative class),F-score (negative class)
Nearest Neighbors (k=13) & $0.646$  & $0.551$  & $0.544$  & $0.546$  & $0.708$  & $0.711$  & $0.709$ \\\hline
Nearest Neighbors (k=10) & $0.659$  & $0.563$  & $0.630$  & $0.590$  & $0.742$  & $0.677$  & $0.704$ \\\hline
Nearest Neighbors (k=50) & $0.635$  & $0.543$  & $0.485$  & $0.503$  & $0.692$  & $0.731$  & $0.707$ \\\hline
Linear SVM (C=0.025) & $0.714$  & $0.643$  & $0.612$  & $0.619$  & $0.763$  & $0.779$  & $0.768$ \\\hline
Linear SVM (C=1) & $0.715$  & $0.641$  & $0.635$  & $0.631$  & $0.769$  & $0.766$  & $0.764$ \\\hline
RBF SVM & $0.619$  & $0.708$  & $0.049$  & $0.091$  & $0.617$  & $0.984$  & $0.759$ \\\hline
Classifier,Accuracy,Precision (positive class),Recall (positive class),F-score (positive class),Precision (negative class),Recall (negative class),F-score (negative class)
Decision Tree & $0.674$  & $0.585$  & $0.567$  & $0.575$  & $0.729$  & $0.743$  & $0.736$ \\\hline
Random Forest & $0.609$  & $0.567$  & $0.005$  & $0.010$  & $0.609$  & $0.996$  & $0.756$ \\\hline
Neural Net & $0.706$  & $0.658$  & $0.512$  & $0.563$  & $0.732$  & $0.831$  & $0.775$ \\\hline
AdaBoost & $0.718$  & $0.654$  & $0.602$  & $0.621$  & $0.760$  & $0.792$  & $0.773$ \\\hline
Naive Bayes & $0.618$  & $0.507$  & $0.715$  & $0.576$  & $0.776$  & $0.555$  & $0.632$ \\\hline
QDA & $0.587$  & $0.491$  & $0.826$  & $0.609$  & $0.811$  & $0.434$  & $0.543$ \\\hline
Gradient Boosting Classifier & $0.736$  & $0.673$  & $0.641$  & $0.653$  & $0.777$  & $0.796$  & $0.785$ \\\hline
